web-scraper-order,web-scraper-start-url,News
"1701353205-1","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Corporate India's ‘heartbeat’ sounds faint as employees health and wellbeing decline"
"1701353205-2","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Brewing up a storm: An exclusive coffee experience in Bengaluru"
"1701353205-3","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Mothers carry the weight of the world on their shoulders: Koel Purie"
"1701353205-4","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Brewing up a storm: An exclusive coffee experience in Bengaluru"
"1701353205-5","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Mothers carry the weight of the world on their shoulders: Koel Purie"
"1701353205-6","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Charu Asopa on breaking into tears while being away from Ziana for an event, says ""When I saw her on video call couldn't hold back my tears"""
"1701353205-7","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Hina Khan drops the teaser of her new film 'Country of Blind' on her birthday - WATCH"
"1701353205-8","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","3 suspected IS terrorists, all engineers, held by Delhi cops"
"1701353205-9","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Caste survey: OBC, EBC, SC, ST make up 85% of Bihar’s population"
"1701353205-10","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Parineeti Chopra's wedding stylists Nidhi Agarwal and Shraddha Lakhani decode her bridal look, react to trolling, comparisons with Alia Bhatt's look and much more - Exclusive!"
"1701353205-11","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Barrister for family of Avtar Singh Khanda writes to chief coroner demanding inquest"
"1701353205-12","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Barrister for family of Avtar Singh Khanda writes to chief coroner demanding inquest"
"1701353205-13","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Medicine Nobel for scientists behind mRNA Covid vaccine"
"1701353205-14","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","12 newborns among 24 dead in 24 hours in Maharashtra's govt hospital"
"1701353205-15","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Manipur tribal areas observe bandh, seek release of 4 arrested"
"1701353205-16","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Gandhi-Kallenbach continue to bond at the Lithuanian bridge"
"1701353205-17","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","‘Haqeeqat is as relevant today for Ladakh as it was in 1964’"
"1701353205-18","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","When Parineeti Chopra used her charm to get cricketer Harbhajan Singh into her team"
"1701353205-19","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Chandrayaan to puppetry: NCR pandals gear up for a grand Pujo experience"
"1701353205-20","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","How an alert pilot averted disaster on Udaipur-Jaipur Vande Bharat Express"
"1701353205-21","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","After 13 days, Nashik onion traders call off strike, auctions at all 15 APMCs from today"
"1701353205-22","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","West comes to east to learn the art of shaadi planning"
"1701353205-23","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","145 Maharashtra prison inmates pass exams, secure reduction in sentences"
"1701353205-24","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Bihar caste survey reveals BJP's need for tie-ups in 2024 Lok Sabha polls"
"1701353205-25","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Surpriya Pathak talks about her bonding with step son Shahid Kapoor and his children"
"1701353205-26","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Use of ultra-processed foods may cause mental health decline: Study"
"1701353205-27","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Exclusive: Viraj Dobriyal aka Karanvir Bohra's secret behind the doll in Saubhagyavati Bhava 2 has a connection with season 1; Here's how"
"1701353205-28","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Optical illusion: This personality test reveals if you're an optimist or pessimist"
"1701353205-29","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Gandhian values to foster in kids since early childhood"
"1701353205-30","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Milky Way-like galaxies were common in early universe, find astronomers"
"1701353205-31","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Ashok Gehlot has admitted defeat, we will continue with his schemes: PM Narendra Modi in Rajasthan"
"1701353205-32","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Hrithik Roshan shares picture with Siddharth Anand from 'Fighter' sets with a note as they complete 10 years of their collaboration"
"1701353205-33","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","Oppn trying to divide society, says PM after Bihar’s caste survey"
"1701353205-34","https://timesofindia.indiatimes.com/2023/10/3/archivelist/year-2023,month-10,starttime-45202.cms","School leaving certificate not enough to prove age, says Gujarat HC"
