web-scraper-order,web-scraper-start-url,News
"1701353242-1","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Rashami Desai reacts to viral video of ‘Gold Man’ reportedly facing police brutality; says 'Art has no value'"
"1701353242-2","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Food groups that may curb cholesterol rise"
"1701353242-3","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Canada PM: Not looking to escalate tensions with India"
"1701353242-4","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Ashok Gehlot tenders unconditional apology for judiciary remarks"
"1701353242-5","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","From far side of Moon, Nasa hunts for radio signals from cosmic Dark Ages"
"1701353242-6","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","From far side of Moon, Nasa hunts for radio signals from cosmic Dark Ages"
"1701353242-7","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","961 arrested for child marriages in Assam"
"1701353242-8","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Kerala priest joins BJP, defrocked"
"1701353242-9","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Pakistan warns illegal immigrants to leave by November 1 or face forcible eviction"
"1701353242-10","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Two soldiers injured in Rajouri encounter, 2-3 terrorists believed trapped"
"1701353242-11","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","We have good players but don’t have a good team: Manolo Marquez"
"1701353242-12","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Wanted Khalistan separatist led chanting at Monday's London protest"
"1701353242-13","https://timesofindia.indiatimes.com/2023/10/4/archivelist/year-2023,month-10,starttime-45203.cms","Vicky Kaushal-Rashmika Mandanna's 'Chava' to Shahid Kapoor-Kriti Sanon's romantic comedy: Releases date of THESE films announced"
