web-scraper-order,web-scraper-start-url,News
"1701353037-1","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Cauvery Row | No relation between my film & the issue: Siddharth on press meet disruption"
"1701353037-2","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Being compared to mom, Malashree, is not a burden: Aradhanaa"
"1701353037-3","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Pahlaj Nihalani: Credit to actor Vishal for exposing the corruption, CBFC CEO is aware of everything and he is responsible - Exclusive"
"1701353037-4","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","New York City's heavy rain is 'new normal' due to climate change, governor says"
"1701353037-5","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","US government hours from shutdown, as lawmakers scrabble for solutions"
"1701353037-6","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Lightning strike kills two in Uttarakhand district"
"1701353037-7","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Amit Shah: In 10 years, India will be exporting key pharma ingredients"
"1701353037-8","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","On the brink of a federal shutdown, the House passes a 45-day funding plan and sends it to Senate"
"1701353037-9","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Rajasthan: 18-Year-Old attacked while passing spot of bike collision"
"1701353037-10","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","SAD leader and family nabbed in 40cr fraud"
"1701353037-11","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","School bus runs over 3-year-old in MP"
"1701353037-12","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Women’s quota: RJD neta's 'lipstick' remark sparks row"
"1701353037-13","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Change imminent in Chhattisgarh as people are weary of Congress corruption: PM Modi"
"1701353037-14","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Two terrorists killed, infiltration bid foiled along LoC in Jammu and Kashmir’s Kupwara"
"1701353037-15","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Will go for caste census after Congress forms government at Centre: Rahul Gandhi"
"1701353037-16","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Safety of foreign diplomats of utmost importance, UK minister says, after India takes up ‘disgraceful incident’"
"1701353037-17","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Kumher Dalit massacre: 31 years on, 9 get life term for killing 16 Dalits in Rajasthan"
"1701353037-18","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","NIA conducts raids over Rajouri terror attack"
"1701353037-19","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","PM: Make 100 aspirational blocks inspirational in a year"
"1701353037-20","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Simple Kaul: I always do festive shopping from Delhi"
"1701353037-21","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Samira Koppikar: Indian music has always had depth, and the core of it is spiritual"
"1701353037-22","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","'Let's not normalise what is happening in Canada': Jaishankar"
"1701353037-23","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","India slams ‘disgraceful incident’ at Gurdwara, UK says places of worship must be open to all"
"1701353037-24","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Important to call out what is happening in Canada: EAM S Jaishankar"
"1701353037-25","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Ambitious IMEEC set to merge geopolitics and geoeconomics"
"1701353037-26","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Fake GPS signals sent 20 aircraft off course in Iranian airspace"
"1701353037-27","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Fake GPS signals sent 20 aircraft off course in Iranian airspace"
"1701353037-28","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Arnold Schwarzenegger's unconventional parenting tactics: From burning shoes to ice-cold showers!"
"1701353037-29","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Optical illusion: Only super vision can help you spot the dog among the daisy flowers"
"1701353037-30","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Finance ministry notifies 28% GST for online gaming"
"1701353037-31","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","October 7 new deadline for surrendering 2,000 notes"
"1701353037-32","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","US House passes bipartisan bill to avoid government shutdown"
"1701353037-33","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Where cricket was first played in India, 300 years ago"
"1701353037-34","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","MoD’s new rules on disability pension spark political battle"
"1701353037-35","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","No state-sponsored killings in encounters, UP tells SC"
"1701353037-36","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","In Kota grind, some are trying hard to stem the tide of suicides"
"1701353037-37","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Woman sets fire to herself, 2 kids; her dad also dies in rescue bid"
"1701353037-38","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Nitish convoy stalls ambulance for one hour"
"1701353037-39","https://timesofindia.indiatimes.com/2023/10/1/archivelist/year-2023,month-10,starttime-45200.cms","Woman, minor used as sex slaves rescued"
