web-scraper-order,web-scraper-start-url,News
"1701353137-1","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Shivrajkumar showers praises on Mahesh Babu, Pawan Kalyan"
"1701353137-2","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Cabbie dies in accident but gives new lease of life to 5"
"1701353137-3","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Ajay Maken appointed new treasurer of Congress"
"1701353137-4","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","PM Modi attends state polls meet, Rajasthan candidates' list soon"
"1701353137-5","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","PM Modi attends state polls meet, Rajasthan candidates' list soon"
"1701353137-6","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","US says Guatemala ministry is interfering in election transition of power"
"1701353137-7","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Broom in hand, Modi collaborates with influencer for Swachh drive"
"1701353137-8","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Narco-terror module busted, 2 held with 30kg cocaine in J&K’s Ramban"
"1701353137-9","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","TMC to protest non-payment of dues in schemes"
"1701353137-10","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Glasgow gurdwara flays radical Sikhs for blocking Indian high commissioner’s visit"
"1701353137-11","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Glasgow gurdwara flays radical Sikhs for blocking Indian high commissioner’s visit"
"1701353137-12","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Congress cheated OBC community the most: BJP"
"1701353137-13","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","PM congratulates Maldives president-elect"
"1701353137-14","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","West Bengal governor CV Ananda Bose appoints 6 interim VCs, TMC questions legality of move"
"1701353137-15","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Hrithik Roshan gives a shout-out to girlfriend Saba Azad's new show 'Who's Your Gynac': 'How amazing are you'"
"1701353137-16","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Trevor Noah: India is different in person. Where’s the space to do a Bollywood dance here?"
"1701353137-17","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","At least 10 migrants are reported killed in a freight truck crash in southern Mexico"
"1701353137-18","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Mahatma’s many avatars: Swag, sass, serenity & spunk still"
"1701353137-19","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","'Fukrey 3' box office collection day 4: The film sees a 30 percent jump on Sunday"
"1701353137-20","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Arrested Jammu-Kashmir DSP took bribe to ‘save’ terror-funds case accused"
"1701353137-21","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Arrested Jammu-Kashmir DSP took bribe to ‘save’ terror-funds case accused"
"1701353137-22","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Dholkichya Talavar: Neha Patil lifts the trophy, Shubham Borade becomes the first runner-up"
"1701353137-23","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","'Jawan' box office collection day 25 early estimates: The Shah Rukh Khan starrer inches towards Rs 600 crore"
"1701353137-24","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Afspa extended in 4 Assam districts, withdrawn from 4 others"
"1701353137-25","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Centre’s `38crore aid for violence-hit farmers"
"1701353137-26","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","2 women among 4 held for ‘killing’ 2 Manipur students"
"1701353137-27","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Only those with extra sharp eyes can find the hedgehog in this picture"
"1701353137-28","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Top US officials laud growing strategic relations between India-US: credit diaspora, EAM Jaishankar"
"1701353137-29","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Top US officials laud growing strategic relations between India-US: credit diaspora, EAM Jaishankar"
"1701353137-30","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Indo-US ties will go to Moon and beyond: EAM"
"1701353137-31","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","How bomb throwing in India's Maoist hotspots can better lives"
"1701353137-32","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Lashkar-e-Taiba operative Mufti Qaiser Farooq shot in Karachi in yet another mystery killing"
"1701353137-33","https://timesofindia.indiatimes.com/2023/10/2/archivelist/year-2023,month-10,starttime-45201.cms","Lashkar-e-Taiba operative Mufti Qaiser Farooq shot in Karachi in yet another mystery killing"
